id,category,descripcion,income,budget,date
1,Electronics,Portable USB-C Monitor,$868.72,$221.76,2/20/2025
2,Home,LED Strip Lights Kit,$964.24,$325.60,10/22/2025
3,Food - Meat Substitutes,Vegetarian Sausage Links,$433.21,$574.14,2/15/2026
4,Toys,Jigsaw Puzzle,$90.51,$756.52,12/24/2024
5,Food - Frozen Foods,Garlic Herb Grilled Chicken,$324.56,$295.84,6/18/2025
6,Food - Desserts,Rice Pudding,$174.74,$527.98,2/12/2026
7,Food - Condiments,Fire Roasted Salsa,$224.60,$134.91,3/5/2024
8,Food - Frozen Foods,Vegetable Curry,$829.35,$860.75,2/21/2024
9,Home,Fall-Themed Table Runner,$849.34,$734.44,5/3/2025
10,Food - Cereal,Chocolate Hazelnut Granola,$871.55,$103.75,8/7/2024
11,Food - Frozen Foods,Sweet Potato Mash,$762.22,$655.95,1/30/2024
12,Food - Dairy,Sliced Cheese,$492.87,$330.73,6/1/2025
13,Food - Meat Substitutes,Vegetarian Sausage Links,$122.87,$944.68,3/18/2025
14,Food - Prepared Foods,Spicy Vegetable Sushi Rolls,$23.23,$791.62,2/29/2024
15,Home Appliances,Compact Refrigerator,$23.82,$695.96,10/15/2024
16,Food - Frozen Meals,Beef Stroganoff Meal Kit,$696.21,$835.14,12/15/2025
17,Kitchen,Aeropress Coffee Maker,$368.05,$116.53,6/16/2025
18,Outdoor,Inflatable Pool Float,$313.07,$478.49,10/5/2024
19,Food - Grains,Basmati Rice,$748.26,$39.08,11/4/2024
20,Travel,Travel Pillow,$774.97,$928.23,7/19/2025
21,Outdoor,Portable Solar Generator,$805.53,$378.02,7/28/2024
22,Garden,Multi-Purpose Plant Care Tool,$583.28,$566.94,2/18/2024
23,Garden,DIY Organic Gardening Kit,$293.85,$249.77,5/24/2025
24,Pets,Pet Grooming Brush,$384.96,$140.15,2/26/2026
25,Food - Condiments,Sweet BBQ Dipping Sauce,$44.81,$27.67,8/18/2025
26,Food - Spices,Organic Italian Seasoning,$51.72,$678.13,8/6/2024
27,Food - Produce,Chickpea Salad Deluxe,$539.94,$965.93,9/28/2025
28,Food - Bakery,Hot Dog Buns,$193.50,$744.93,4/30/2025
29,Food - Snacks,Honey Almond Granola Bars,$992.71,$713.97,1/17/2025
30,Food - Breakfast,Apple Cinnamon Granola,$403.28,$692.50,7/26/2024
31,Food - Dairy,Sliced Provolone Cheese,$237.88,$96.53,12/24/2024
32,Outdoor,Electric Air Pump,$419.21,$26.19,2/25/2026
33,Food - Seafood,Lemon Dill Salmon,$553.71,$220.58,3/15/2026
34,Outdoor,LED Flashlight,$403.14,$28.47,2/29/2024
35,Food - Grains,Couscous,$831.08,$481.29,12/13/2024
36,Food - Bakery,Artisan Bread,$182.02,$765.58,8/26/2024
37,Food - Baking,Gluten-Free Brownies,$383.10,$936.24,8/7/2025
38,Art Supplies,Crafting Kit,$462.65,$760.21,3/23/2024
